experiment,subj,"condition (1 = Retrieval Pradtice, 2 = Restudy)",practice_rp_success,source_rp_success,source_rp_failure,confidence_rp_success,confidence_rp_failure,recall_rp_success,recall_rp_failure
1,544,2,,0.675,0.675,2.263157895,1.619047619,0.475,0.475
1,545,1,0.475,0.473684211,0.476190476,1.975,1.975,0.421052632,0.142857143
1,546,2,,0.425,0.425,2.5625,1.416666667,0.3,0.3
1,547,1,0.4,0.4375,0.416666667,2.35,2.35,0.1875,0.125
1,548,2,,0.525,0.525,2.2,1.45,0.375,0.375
1,549,1,0.5,0.6,0.25,1.425,1.425,0.6,0.15
1,550,2,,0.3,0.3,3.275862069,2.636363636,0.225,0.225
1,551,1,0.725,0.344827586,0.363636364,1.4,1.4,0.275862069,0.181818182
1,552,2,,0.375,0.375,2.416666667,1.892857143,0.375,0.375
1,553,1,0.3,0.25,0.357142857,1.525,1.525,0.5,0.25
1,555,1,0.175,0.142857143,0.272727273,1.428571429,1.242424242,0.142857143,0.060606061
1,556,2,,0.425,0.425,2.1,2.1,0.15,0.15
1,557,1,0.525,0.476190476,0.368421053,1.285714286,1,0.380952381,0.052631579
1,558,2,,0.3,0.3,2.475,2.475,0.275,0.275
1,559,1,0.85,0.558823529,0.5,2.823529412,2.833333333,0,0
1,560,2,,0.225,0.225,2.275,2.275,0.175,0.175
1,561,1,0.125,0.6,0.371428571,2.8,2.4,0.2,0
1,562,2,,0.55,0.55,2.725,2.725,0.25,0.25
2,601,1,0.775,0.64516129,0.666666667,2.806451613,2.666666667,0.451612903,0.111111111
2,602,2,,0.775,0.775,3.075,3.075,0.375,0.375
2,603,1,0.7,0.607142857,0.416666667,3.25,2.583333333,0.571428571,0.166666667
2,604,2,,0.25,0.25,1.45,1.45,0.1,0.1
2,605,1,0.575,0.52173913,0.411764706,2.739130435,1.882352941,0.695652174,0.058823529
2,606,2,,0.65,0.65,3.025,3.025,0.25,0.25
2,607,1,0.475,0.315789474,0.19047619,3.052631579,2.142857143,0.421052632,0.333333333
2,608,2,,0.55,0.55,3.125,3.125,0.2,0.2
2,609,1,0.575,0.652173913,0.764705882,2.695652174,3.352941176,0.608695652,0.117647059
2,610,2,,0.875,0.875,3.5,3.5,0.325,0.325
2,611,1,0.5,0.5,0.5,2.45,2.45,0.45,0.3
2,612,2,,0.725,0.725,3.025,3.025,0.375,0.375
2,613,1,0.575,0.826086957,0.588235294,3.130434783,2.294117647,0.217391304,0.058823529
2,614,2,,0.75,0.75,3.225,3.225,0.425,0.425
2,615,1,0.85,0.882352941,0.666666667,3.147058824,2.5,0.647058824,0.5
2,616,2,,0.275,0.275,2.45,2.45,0.05,0.05
2,617,1,0.875,0.542857143,0.6,2.714285714,2.2,0.342857143,0.6
2,618,2,,0.45,0.45,2.1,2.1,0.325,0.325
2,619,1,0.625,0.44,0.533333333,3.08,3,0.4,0
2,620,2,,0.65,0.65,2.6,2.6,0.375,0.375
2,621,1,0.325,0.615384615,0.518518519,3.230769231,3.185185185,0.384615385,0.185185185
2,622,2,,0.375,0.375,2.125,2.125,0.175,0.175
2,623,1,0.85,0.852941176,0.833333333,3.147058824,3.333333333,0.764705882,1
2,624,2,,0.675,0.675,3.025,3.025,0.55,0.55
2,625,1,0.825,0.787878788,0.428571429,3.181818182,2.285714286,0.606060606,0.142857143
2,626,2,,0.75,0.75,3.1,3.1,0.525,0.525
2,627,1,0.7,0.642857143,0.5,2.642857143,2.25,0.285714286,0.083333333
2,628,2,,0.35,0.35,2.4,2.4,0.3,0.3
2,629,1,0.45,0.5,0.590909091,2.611111111,1.954545455,0.388888889,0.181818182
2,630,2,,0.7,0.7,3.375,3.375,0.075,0.075
2,631,1,0.625,0.44,0.133333333,2.8,2.266666667,0.36,0
2,632,2,,0.825,0.825,3.7,3.7,0.325,0.325
2,633,1,0.75,0.366666667,0.3,3.466666667,3.3,0.533333333,0.6
2,634,2,,0.625,0.625,2.8,2.8,0.225,0.225
2,635,1,0.575,0.47826087,0.352941176,2.739130435,2.058823529,0.652173913,0.176470588
